subzone,zone,airport,year_open
377,494,MDW,1927
378,494,MDW,1927
379,494,MDW,1927
380,494,MDW,1927
698,126,ORD,1955
699,127,ORD,1955
700,125,ORD,1955
701,126,ORD,1955
702,125,ORD,1955
703,125,ORD,1955
704,125,ORD,1955
705,125,ORD,1955
706,125,ORD,1955
707,125,ORD,1955
708,125,ORD,1955
709,125,ORD,1955
710,125,ORD,1955
711,126,ORD,1955
712,125,ORD,1955
713,126,ORD,1955
714,125,ORD,1955
716,126,ORD,1955
717,126,ORD,1955
732,130,ORD,1955
733,130,ORD,1955
734,130,ORD,1955
735,129,ORD,1955
736,129,ORD,1955
737,129,ORD,1955
943,122,ORD,1955
944,122,ORD,1955
949,123,ORD,1955
950,123,ORD,1955
953,124,ORD,1955
2586,129,ORD,1955
3896,1733,ORD,1955
3897,1733,ORD,1955
3898,1734,ORD,1955
3899,1734,ORD,1955
3900,1734,ORD,1955
3901,1734,ORD,1955
3902,1734,ORD,1955
3903,1734,ORD,1955
3904,1969,ORD,1955
5158,1969,ORD,1955
13907,2907,SSA,2035
13909,2907,SSA,2035
13910,2907,SSA,2035
13913,2907,SSA,2035
13914,2907,SSA,2035
13917,2907,SSA,2035
13918,2907,SSA,2035
13919,2906,SSA,2035
13922,2906,SSA,2035
13925,2906,SSA,2035
13927,2906,SSA,2035
13939,2906,SSA,2035
13940,2906,SSA,2035
13943,2907,SSA,2035
13944,2907,SSA,2035
13947,2907,SSA,2035
13948,2907,SSA,2035
13951,2907,SSA,2035
13952,2907,SSA,2035
14075,2921,SSA,2035
14076,2921,SSA,2035
14077,2921,SSA,2035
