trip_type,wfh_flag,cbd,weight_formula
33,1,1,1 * retail_employment
33,1,0,1.53 * retail_employment * notairport_flag
34,0,1,1 * households
34,0,0,1.511 * households * notairport_flag
34,1,1,1 * households
34,1,0,1.511 * households * notairport_flag
35,0,1,1 * households
35,0,0,36.326 * households * notairport_flag
35,1,1,1 * households
35,1,0,36.326 * households * notairport_flag
36,0,1,1 * retail_employment + 0.031 * nonretail_employment
36,0,0,2.51 * retail_employment + 0.324 * nonretail_employment
36,1,1,1 * retail_employment + 0.031 * nonretail_employment
36,1,0,2.51 * retail_employment + 0.324 * nonretail_employment
37,0,1,1 * retail_employment
37,0,0,1 * retail_employment * notairport_flag
37,1,1,1 * retail_employment
37,1,0,1 * retail_employment * notairport_flag
38,0,1,1 * households
38,0,0,16.44 * households * notairport_flag
38,1,1,1 * households
38,1,0,16.44 * households * notairport_flag
39,0,1,0.058 * total_employment
39,0,0,1 * retail_employment + 0.922 * nonretail_employment
39,1,1,0.058 * total_employment
39,1,0,1 * retail_employment + 0.922 * nonretail_employment
40,0,1,1 * retail_employment
40,0,0,1 * retail_employment * notairport_flag
40,1,1,1 * retail_employment
40,1,0,1 * retail_employment * notairport_flag
41,0,1,1 * households
41,0,0,16.44 * households * notairport_flag
41,1,1,1 * households
41,1,0,16.44 * households * notairport_flag
42,0,1,0.058 * total_employment
42,0,0,1 * retail_employment + 0.922 * nonretail_employment
42,1,1,0.058 * total_employment
42,1,0,1 * retail_employment + 0.922 * nonretail_employment
43,0,1,1 * retail_employment
43,0,0,1 * retail_employment * notairport_flag
43,1,1,1 * retail_employment
43,1,0,1 * retail_employment * notairport_flag
44,0,1,1 * households
44,0,0,16.44 * households * notairport_flag
44,1,1,1 * households
44,1,0,16.44 * households * notairport_flag
45,0,1,0.058 * total_employment
45,0,0,1 * retail_employment + 0.922 * nonretail_employment
45,1,1,0.058 * total_employment
45,1,0,1 * retail_employment + 0.922 * nonretail_employment
46,0,1,1 * retail_employment
46,0,0,1 * retail_employment * notairport_flag
46,1,1,1 * retail_employment
46,1,0,1 * retail_employment * notairport_flag
47,0,1,1 * households
47,0,0,16.44 * households * notairport_flag
