HHTYPE,ADULT,WORKER,CHILD,INCOME,AGE_INDEX
67,2,0,1.0,2.0,1.0
68,3,0,1.0,2.0,1.0
69,4,0,1.0,2.0,1.0
70,1,1,1.0,2.0,1.0
71,2,1,1.0,2.0,1.0
72,3,1,1.0,2.0,1.0
73,4,1,1.0,2.0,1.0
74,2,2,1.0,2.0,1.0
75,3,2,1.0,2.0,1.0
76,4,2,1.0,2.0,1.0
77,3,3,1.0,2.0,1.0
78,4,3,1.0,2.0,1.0
79,1,0,2.0,2.0,1.0
80,2,0,2.0,2.0,1.0
81,3,0,2.0,2.0,1.0
82,4,0,2.0,2.0,1.0
83,1,1,2.0,2.0,1.0
84,2,1,2.0,2.0,1.0
85,3,1,2.0,2.0,1.0
86,4,1,2.0,2.0,1.0
87,2,2,2.0,2.0,1.0
88,3,2,2.0,2.0,1.0
89,4,2,2.0,2.0,1.0
90,3,3,2.0,2.0,1.0
91,4,3,2.0,2.0,1.0
92,1,0,3.0,2.0,1.0
93,2,0,3.0,2.0,1.0
94,3,0,3.0,2.0,1.0
95,4,0,3.0,2.0,1.0
96,1,1,3.0,2.0,1.0
97,2,1,3.0,2.0,1.0
98,3,1,3.0,2.0,1.0
99,4,1,3.0,2.0,1.0
100,2,2,3.0,2.0,1.0
101,3,2,3.0,2.0,1.0
102,4,2,3.0,2.0,1.0
103,3,3,3.0,2.0,1.0
104,4,3,3.0,2.0,1.0
105,1,0,0.0,3.0,1.0
106,2,0,0.0,3.0,1.0
107,3,0,0.0,3.0,1.0
108,4,0,0.0,3.0,1.0
109,1,1,0.0,3.0,1.0
110,2,1,0.0,3.0,1.0
111,3,1,0.0,3.0,1.0
112,4,1,0.0,3.0,1.0
113,2,2,0.0,3.0,1.0
114,3,2,0.0,3.0,1.0
115,4,2,0.0,3.0,1.0
116,3,3,0.0,3.0,1.0
117,4,3,0.0,3.0,1.0
118,1,0,1.0,3.0,1.0
119,2,0,1.0,3.0,1.0
120,3,0,1.0,3.0,1.0
121,4,0,1.0,3.0,1.0
122,1,1,1.0,3.0,1.0
123,2,1,1.0,3.0,1.0
124,3,1,1.0,3.0,1.0
125,4,1,1.0,3.0,1.0
126,2,2,1.0,3.0,1.0
127,3,2,1.0,3.0,1.0
128,4,2,1.0,3.0,1.0
129,3,3,1.0,3.0,1.0
130,4,3,1.0,3.0,1.0
131,1,0,2.0,3.0,1.0
132,2,0,2.0,3.0,1.0
133,3,0,2.0,3.0,1.0
134,4,0,2.0,3.0,1.0
135,1,1,2.0,3.0,1.0
136,2,1,2.0,3.0,1.0
137,3,1,2.0,3.0,1.0
138,4,1,2.0,3.0,1.0
139,2,2,2.0,3.0,1.0
140,3,2,2.0,3.0,1.0
141,4,2,2.0,3.0,1.0
142,3,3,2.0,3.0,1.0
143,4,3,2.0,3.0,1.0
144,1,0,3.0,3.0,1.0
145,2,0,3.0,3.0,1.0
146,3,0,3.0,3.0,1.0
147,4,0,3.0,3.0,1.0
148,1,1,3.0,3.0,1.0
149,2,1,3.0,3.0,1.0
150,3,1,3.0,3.0,1.0
151,4,1,3.0,3.0,1.0
152,2,2,3.0,3.0,1.0
153,3,2,3.0,3.0,1.0
154,4,2,3.0,3.0,1.0
155,3,3,3.0,3.0,1.0
156,4,3,3.0,3.0,1.0
157,1,0,0.0,4.0,1.0
158,2,0,0.0,4.0,1.0
159,3,0,0.0,4.0,1.0
160,4,0,0.0,4.0,1.0
161,1,1,0.0,4.0,1.0
162,2,1,0.0,4.0,1.0
163,3,1,0.0,4.0,1.0
164,4,1,0.0,4.0,1.0
165,2,2,0.0,4.0,1.0
166,3,2,0.0,4.0,1.0
167,4,2,0.0,4.0,1.0
168,3,3,0.0,4.0,1.0
169,4,3,0.0,4.0,1.0
170,1,0,1.0,4.0,1.0
171,2,0,1.0,4.0,1.0
172,3,0,1.0,4.0,1.0
173,4,0,1.0,4.0,1.0
174,1,1,1.0,4.0,1.0
175,2,1,1.0,4.0,1.0
176,3,1,1.0,4.0,1.0
177,4,1,1.0,4.0,1.0
178,2,2,1.0,4.0,1.0
179,3,2,1.0,4.0,1.0
180,4,2,1.0,4.0,1.0
181,3,3,1.0,4.0,1.0
182,4,3,1.0,4.0,1.0
183,1,0,2.0,4.0,1.0
184,2,0,2.0,4.0,1.0
185,3,0,2.0,4.0,1.0
186,4,0,2.0,4.0,1.0
187,1,1,2.0,4.0,1.0
188,2,1,2.0,4.0,1.0
189,3,1,2.0,4.0,1.0
190,4,1,2.0,4.0,1.0
191,2,2,2.0,4.0,1.0
192,3,2,2.0,4.0,1.0
193,4,2,2.0,4.0,1.0
194,3,3,2.0,4.0,1.0
195,4,3,2.0,4.0,1.0
196,1,0,3.0,4.0,1.0
197,2,0,3.0,4.0,1.0
198,3,0,3.0,4.0,1.0
199,4,0,3.0,4.0,1.0
