trip_type,wfh_flag,cbd,weight_formula
45,1,1,0.065 * total_employment
45,1,0,1 * retail_employment + 0.137 * nonretail_employment
46,0,1,0.065 * total_employment
46,0,0,1 * retail_employment + 0.137 * nonretail_employment
46,1,1,0.065 * total_employment
46,1,0,1 * retail_employment + 0.137 * nonretail_employment
47,0,1,1 * retail_employment
47,0,0,1 * retail_employment * notairport_flag
47,1,1,1 * retail_employment
47,1,0,1 * retail_employment * notairport_flag
48,0,1,1 * retail_employment
48,0,0,1 * retail_employment * notairport_flag
48,1,1,1 * retail_employment
48,1,0,1 * retail_employment * notairport_flag
49,0,1,1 * retail_employment
49,0,0,1 * retail_employment * notairport_flag
49,1,1,1 * retail_employment
49,1,0,1 * retail_employment * notairport_flag
