1,0.752
2,0.792
3,0.752
4,0.793
5,0.804
6,0.752
7,0.795
8,0.621
9,0.824
10,0.833
11,0.843
12,0.843
13,0.832
14,0.836
15,0.838
16,0.836
17,0.728
18,0.745
19,0.717
20,0.72
21,0.706
22,0.792
23,0.815
24,0.792
25,0.763
26,0.815
27,0.773
28,0.728
29,0.712
30,0.712
31,0.698
32,0.691
33,0.637
34,0.637
35,0.632
36,0.595
37,0.843
38,0.843
39,0.843
40,0.842
41,0.846
42,0.846
43,0.824
44,0.823
45,0.767
46,0.754
47,0.72
48,0.709
49,0.694
50,0.694
51,0.694
52,0.694
53,0.665
54,0.65
55,0.647
56,0.675
57,0.639
58,0.722
59,0.678
60,0.7
61,0.662
62,0.653
63,0.724
64,0.686
65,0.723
66,0.72
67,0.739
68,0.733
69,0.645
70,0.639
71,0.656
72,0.642
73,0.549
74,0.495
75,0.67
76,0.693
77,0.559
78,0.603
79,0.589
80,0.709
81,0.589
82,0.765
83,0.589
84,0.589
85,0.612
86,0.639
87,0.765
88,0.7
89,0.71
90,0.539
91,0.694
92,0.584
93,0.716
94,0.666
95,0.785
96,0.786
97,0.644
98,0.646
99,0.497
100,0.537
101,0.636
102,0.672
103,0.676
104,0.524
105,0.471
106,0.453
107,0.377
108,0.559
109,0.61
110,0.667
111,0.589
112,0.746
113,0.662
114,0.528
115,0.661
116,0.527
117,0.622
118,0.688
119,0.658
120,0.73
121,0.555
122,0.571
123,0.507
124,0.593
125,0.64
126,0.662
127,0.609
128,0.665
129,0.609
130,0.543
131,0.555
132,0.478
133,0.478
134,0.478
135,0.478
136,0.588
137,0.588
138,0.588
139,0.588
140,0.568
141,0.568
142,0.694
143,0.694
144,0.639
145,0.639
146,0.639
147,0.776
148,0.776
149,0.776
150,0.776
151,0.381
152,0.523
153,0.474
154,0.507
155,0.598
156,0.598
157,0.598
158,0.598
159,0.482
160,0.502
161,0.578
162,0.587
163,0.54
164,0.54
165,0.54
166,0.54
167,0.319
168,0.527
169,0.309
170,0.523
171,0.426
172,0.426
173,0.426
174,0.426
175,0.383
176,0.383
177,0.383
178,0.383
179,0.495
180,0.495
181,0.495
182,0.495
183,0.641
184,0.637
185,0.646
186,0.635
187,0.667
188,0.668
189,0.667
190,0.67
191,0.588
192,0.588
193,0.614
194,0.73
195,0.59
196,0.73
197,0.73
198,0.741
199,0.73
200,0.73
201,0.718
202,0.718
203,0.74
204,0.718
205,0.718
206,0.631
207,0.529
208,0.702
209,0.697
210,0.479
211,0.479
212,0.479
213,0.479
214,0.568
215,0.568
216,0.568
217,0.568
218,0.624
219,0.79
220,0.703
221,0.723
222,0.529
223,0.529
224,0.529
225,0.529
226,0.578
227,0.578
228,0.578
229,0.578
230,0.578
231,0.578
232,0.578
233,0.578
234,0.586
235,0.586
236,0.703
237,0.586
238,0.586
239,0.74
240,0.74
241,0.718
242,0.74
243,0.74
244,0.741
245,0.741
246,0.741
247,0.741
248,0.741
249,0.741
250,0.741
251,0.741
252,0.74
253,0.74
254,0.74
255,0.74
256,0.703
257,0.586
258,0.703
259,0.703
260,0.703
261,0.53
262,0.53
263,0.819
264,0.53
265,0.53
266,0.589
267,0.59
268,0.487
269,0.53
270,0.601
271,0.65
272,0.575
273,0.572
274,0.647
275,0.647
276,0.647
277,0.647
278,0.749
279,0.749
280,0.749
281,0.749
282,0.599
283,0.599
284,0.574
285,0.599
286,0.599
287,0.603
288,0.524
289,0.681
290,0.546
291,0.546
292,0.681
293,0.681
294,0.546
295,0.681
296,0.681
297,0.574
298,0.641
299,0.534
300,0.57
301,0.634
302,0.634
303,0.634
304,0.634
305,0.712
306,0.712
307,0.712
308,0.712
309,0.718
310,0.718
311,0.718
312,0.718
313,0.585
314,0.585
315,0.585
316,0.585
317,0.531
318,0.531
319,0.531
320,0.531
321,0.698
322,0.698
323,0.698
324,0.698
325,0.531
326,0.747
327,0.62
328,0.75
329,0.53
330,0.53
331,0.53
332,0.53
333,0.31
334,0.536
335,0.27
336,0.491
337,0.457
338,0.553
339,0.455
340,0.554
341,0.598
342,0.598
343,0.598
344,0.598
345,0.655
346,0.588
347,0.588
348,0.377
349,0.375
350,0.518
351,0.539
352,0.599
353,0.479
354,0.432
355,0.441
356,0.502
357,0.497
358,0.603
359,0.574
360,0.354
361,0.6
362,0.599
363,0.215
364,0.332
365,0.375
366,0.375
367,0.375
368,0.375
369,0.383
370,0.383
371,0.383
372,0.383
373,0.662
374,0.699
375,0.274
376,0.385
377,0.71
378,0.71
379,0.71
380,0.71
381,0.727
382,0.727
383,0.727
384,0.727
385,0.626
386,0.625
387,0.642
388,0.642
389,0.693
390,0.692
391,0.648
392,0.648
393,0.55
394,0.549
395,0.472
396,0.472
397,0.472
398,0.472
399,0.542
400,0.477
401,0.635
402,0.147
403,0.583
404,0.577
405,0.635
406,0.635
407,0.52
408,0.52
409,0.52
410,0.52
411,0.521
412,0.521
413,0.521
414,0.521
415,0.53
416,0.53
417,0.552
418,0.552
419,0.525
420,0.525
421,0.525
422,0.525
423,0.399
424,0.399
425,0.512
426,0.512
427,0.573
428,0.573
429,0.573
430,0.573
431,0.727
432,0.727
433,0.388
434,0.491
435,0.452
436,0.693
437,0.693
438,0.573
439,0.649
440,0.691
441,0.609
442,0.658
443,0.691
444,0.691
445,0.691
446,0.691
447,0.586
448,0.577
449,0.397
450,0.564
451,0.596
452,0.593
453,0.309
454,0.723
455,0.545
456,0.381
457,0.25
458,0.652
459,0.671
460,0.671
461,0.671
462,0.671
463,0.632
464,0.629
465,0.528
466,0.526
467,0.612
468,0.719
469,0.596
470,0.56
471,0.683
472,0.559
473,0.509
474,0.645
475,0.645
476,0.666
477,0.735
478,0.692
479,0.681
480,0.734
481,0.584
482,0.547
483,0.428
484,0.598
485,0.598
486,0.598
487,0.598
488,0.737
489,0.737
490,0.737
491,0.737
492,0.713
493,0.455
494,0.32
495,0.353
496,0.658
497,0.658
498,0.658
499,0.658
