1,0.176,55.96
2,0.244,55.37
3,0.176,55.7
4,0.244,54.66
5,0.273,54.03
6,0.302,12.38
7,0.269,27.93
8,0.391,44.17
9,0.159,52.95
10,0.212,49.11
11,0.117,51.14
12,0.117,47.74
13,0.204,40.3
14,0.19,57.49
15,0.187,37.49
16,0.19,43.47
17,0.317,24.19
18,0.253,45.3
19,0.262,63.49
20,0.209,51.92
21,0.249,62.41
22,0.216,9.12
23,0.223,13.9
24,0.216,27.82
25,0.161,48.61
26,0.223,24.36
27,0.107,48.17
28,0.317,2.96
29,0.184,9.24
30,0.184,17.76
31,0.141,37.18
32,0.149,51.2
33,0.273,2.32
34,0.273,11.89
35,0.253,41.16
36,0.271,35.72
37,0.117,50.24
38,0.117,43.87
39,0.117,62.64
40,0.123,44.37
41,0.212,35.87
42,0.217,37.14
43,0.238,36.43
44,0.238,41.92
45,0.299,49.04
46,0.302,22.95
47,0.302,23.8
48,0.307,6.69
49,0.387,36.33
50,0.387,30.38
51,0.387,28.55
52,0.387,27.7
53,0.296,26.47
54,0.271,39.1
55,0.26,47.89
56,0.294,36.56
57,0.145,47.12
58,0.336,39.55
59,0.284,24.47
60,0.355,31.97
61,0.333,23.5
62,0.416,33.65
63,0.316,41.19
64,0.419,48.14
65,0.298,49.91
66,0.301,38.44
67,0.341,39.07
68,0.337,33.6
69,0.324,27.72
70,0.384,41.86
71,0.659,29.17
72,0.661,39.05
73,0.634,53.84
74,0.471,46.84
75,0.502,15.32
76,0.391,31.77
77,0.58,30.66
78,0.549,41.0
79,0.708,7.83
80,0.424,32.64
81,0.708,1.09
82,0.419,33.53
83,0.708,0.6
84,0.708,2.21
85,0.354,49.73
86,0.372,47.25
87,0.386,51.8
88,0.402,50.47
89,0.385,49.78
90,0.542,49.17
91,0.474,44.24
92,0.399,47.66
93,0.412,39.26
94,0.525,43.28
95,0.353,31.35
96,0.383,38.74
97,0.665,27.87
98,0.679,24.3
99,0.527,42.93
100,0.518,43.78
101,0.665,0.44
102,0.565,36.41
103,0.475,12.19
104,0.462,33.64
105,0.646,32.31
106,0.649,26.99
107,0.55,34.4
108,0.601,45.08
109,0.593,8.46
110,0.568,11.89
111,0.637,39.73
112,0.643,37.11
113,0.484,12.9
114,0.596,42.34
115,0.488,2.84
116,0.596,5.26
117,0.426,28.12
118,0.369,52.24
119,0.394,44.62
120,0.313,58.15
121,0.204,46.95
122,0.402,34.77
123,0.33,38.73
124,0.381,23.41
125,0.318,20.94
126,0.308,46.82
127,0.296,37.69
128,0.413,45.71
129,0.296,0.9
130,0.785,14.7
131,0.798,39.97
132,0.761,34.76
133,0.761,25.25
134,0.761,40.22
135,0.761,22.57
136,0.849,46.56
137,0.849,40.06
138,0.849,38.66
139,0.849,43.04
140,0.867,0.02
141,0.867,4.37
142,0.858,41.29
143,0.858,16.45
144,0.791,33.05
145,0.791,26.18
146,0.791,21.42
147,0.638,47.8
148,0.638,49.79
149,0.638,37.83
150,0.638,31.53
151,0.548,34.01
152,0.543,32.02
153,0.537,25.87
154,0.529,28.98
155,0.652,41.24
156,0.652,35.56
157,0.652,35.32
158,0.652,45.7
159,0.614,15.31
160,0.69,44.94
161,0.632,32.29
162,0.664,38.31
163,0.653,42.05
164,0.653,50.03
165,0.653,37.66
166,0.653,42.83
167,0.765,36.37
168,0.635,19.0
169,0.645,33.21
170,0.635,38.47
171,0.635,42.7
172,0.635,50.52
173,0.635,36.29
174,0.635,41.59
175,0.621,49.32
176,0.621,38.96
177,0.621,49.32
178,0.621,32.16
179,0.538,34.67
180,0.538,44.8
181,0.538,46.5
182,0.538,44.72
183,0.697,4.96
184,0.68,39.65
185,0.666,34.51
186,0.647,41.62
187,0.809,11.36
188,0.806,29.71
189,0.808,0.09
190,0.811,12.04
191,0.712,41.45
192,0.712,11.64
193,0.711,24.83
194,0.715,34.22
195,0.712,2.38
196,0.715,15.2
197,0.715,0.0
198,0.672,0.0
199,0.715,0.0
200,0.715,0.0
201,0.639,0.28
202,0.639,9.74
203,0.66,0.0
204,0.639,0.0
205,0.639,6.28
206,0.667,38.5
207,0.664,42.3
208,0.659,29.58
209,0.65,42.91
210,0.765,38.46
211,0.765,39.94
212,0.765,40.63
213,0.765,42.66
214,0.713,43.95
215,0.713,23.89
216,0.713,43.28
217,0.713,36.43
218,0.75,29.79
219,0.658,46.08
220,0.706,34.89
221,0.702,39.97
