1700104,0.245,0.449
1702300,0.023,0.081
1702400,0.098,0.154
1702601,0.014,0.021
1702700,0.153,0.192
1702801,0.065,0.064
1702901,0.093,0.098
1703005,0.004,0.008
1703007,0.012,0.009
1703008,0.005,0.009
1703009,0.009,0.007
1703102,0.007,0.016
1703105,0.01,0.011
1703106,0.011,0.012
1703107,0.005,0.01
1703108,0.016,0.016
1703202,0.009,0.01
1703203,0.014,0.012
1703204,0.013,0.014
1703205,0.012,0.009
1703207,0.007,0.012
1703208,0.009,0.007
1703209,0.011,0.006
1703306,0.014,0.004
1703307,0.009,0.01
1703308,0.009,0.008
1703309,0.009,0.016
1703310,0.018,0.018
1703401,0.013,0.01
1703407,0.006,0.01
1703408,0.006,0.005
1703409,0.006,0.011
1703410,0.006,0.011
1703411,0.006,0.008
1703412,0.008,0.006
1703413,0.008,0.021
1703414,0.01,0.017
1703415,0.006,0.014
1703416,0.016,0.013
1703417,0.008,0.008
1703418,0.007,0.011
1703419,0.007,0.022
1703420,0.007,0.013
1703421,0.009,0.007
1703422,0.008,0.053
1703501,0.007,0.012
1703502,0.009,0.01
1703503,0.004,0.007
1703504,0.008,0.012
1703520,0.002,0.006
1703521,0.003,0.009
1703522,0.007,0.005
1703523,0.002,0.008
1703524,0.01,0.011
1703525,0.015,0.015
1703526,0.007,0.011
1703527,0.002,0.044
1703528,0.002,0.003
1703529,0.012,0.008
1703530,0.001,0.006
1703531,0.003,0.002
1703532,0.003,0.018
1703601,0.015,0.011
1703602,0.013,0.006
1703700,0.018,0.019
1800101,0.006,0.029
1800102,0.011,0.038
1800103,0.008,0.024
1800104,0.016,0.048
1800200,0.029,0.056
1800300,0.139,0.074
5510000,0.066,0.067
5530000,0.255,0.115
5550000,0.222,0.197
