t matrices
 all 116:1885467
 all 117:1884388
 all 118:1884447
 all 119:1885262
 all 120:1886956
 all 121:1884627
 all 122:1943701
 all 123:1945941
 all 124:1944463
 all 125:1934293
 all 126:1934199
 all 127:1939477
 all 128:1934339
 all 129:1926322
 all 130:1926253
 all 131:1937820
 all 132:1936059
 all 133:1934329
 all 134:1933562
 all 135:1935440
 all 136:1933244
 all 137:1926052
 all 138:1928270
 all 139:1923217
 all 140:1922904
 all 141:1949382
 all 142:1947254
 all 143:1942251
 all 144:1941955
 all 145:1945001
 all 146:1947137
 all 147:1937379
 all 148:1937085
 all 149:1941767
 all 150:1940449
 all 151:1933525
 all 152:1922821
 all 153:1920238
 all 154:1942241
 all 155:1942139
 all 156:1943374
 all 157:1945763
 all 158:1944203
 all 159:1947257
 all 160:1942204
 all 161:1950207
 all 162:1947682
 all 163:1949198
 all 164:1947804
 all 165:1951148
 all 166:1950174
 all 167:1945141
 all 168:1942402
 all 169:1947387
 all 170:1942288
 all 171:1945049
 all 172:1947571
 all 173:1942448
 all 174:1946210
 all 175:1942638
 all 176:1946058
 all 177:1947769
 all 178:1942747
 all 179:1936871
 all 180:1940260
 all 181:1941797
 all 182:1937917
 all 183:1938222
 all 184:1940588
 all 185:1939471
 all 186:1936950
 all 187:1939958
 all 188:1937580
 all 189:1941621
 all 190:1939317
 all 191:1939585
 all 192:1939303
 all 193:1941971
 all 194:1936963
 all 195:1942036
 all 196:1940989
 all 197:1939481
 all 198:1937073
 all 199:1939792
 all 200:1939785
 all 201:1937982
 all 202:1937178
 all 203:1935109
 all 204:1935605
 all 205:1931364
 all 206:1936682
 all 207:1933196
 all 208:1933935
 all 209:1935829
 all 210:1933525
 all 211:1936730
 all 212:1931614
 all 213:1934160
 all 214:1934043
 all 215:1936838
 all 216:1934362
 all 217:1934152
 all 218:1931666
 all 219:1934303
 all 220:1934474
 all 221:1931781
 all 222:1936907
 all 223:1925989
 all 224:1927832
 all 225:1928658
 all 226:1928569
 all 227:1931210
 all 228:1928625
 all 229:1928858
 all 230:1930143
 all 231:1927408
 all 232:1930367
 all 233:1928309
 all 234:1931496
 all 235:1928854
 all 236:1931507
 all 237:1926498
 all 238:1931011
 all 239:1931560
 all 240:1928982
 all 241:1926526
 all 242:1923232
 all 243:1920503
 all 244:1925762
 all 245:1920645
 all 246:1925818
 all 247:1923212
 all 248:1925885
 all 249:1923149
 all 250:1920905
 all 251:1925943
 all 252:1925995
 all 253:1920838
 all 254:1926047
 all 255:1923351
 all 256:1924245
 all 257:1921748
 all 258:1926200
 all 259:1921106
 all 260:1922338
 all 261:1924825
 all 262:1926329
 all 263:1921255
 all 264:1923814
 all 265:1922281
 all 266:1915334
 all 267:1917973
 all 268:1917872
 all 269:1917708
 all 270:1917983
 all 271:1917939
 all 272:1915636
 all 273:1918254
 all 274:1920787
 all 275:1918100
 all 276:1918385
 all 277:1915783
 all 278:1918522
 all 279:1917311
 all 280:1917069
 all 281:1919617
 all 282:1915939
 all 283:1918606
 all 284:1914739
 all 285:1909978
 all 286:1909932
 all 287:1915067
 all 288:1913520
 all 289:1910020
 all 290:1910050
 all 291:1914075
 all 292:1915373
 all 293:1910183
 all 294:1910128
 all 295:1912913
 all 296:1912979
 all 297:1910349
 all 298:1911688
 all 299:1913041
 all 300:1910490
 all 301:1913187
 all 302:1915517
 all 303:1910530
 all 304:1915027
 all 305:1912949
 all 306:1913050
 all 307:1915612
 all 308:1938702
 all 309:1940502
 all 310:1939849
 all 311:1938052
 all 312:1941247
 all 313:1937946
 all 314:1939998
 all 315:1932484
 all 316:1932008
 all 317:1937023
 all 318:1934588
 all 319:1932090
 all 320:1937102
 all 321:1934477
 all 322:1932208
 all 323:1934765
 all 324:1929001
 all 325:1926693
 all 326:1929355
 all 327:1931749
 all 328:1930613
 all 329:1928953
 all 330:1930775
 all 331:1927755
 all 332:1929297
 all 333:1923761
 all 334:1923744
 all 335:1923906
 all 336:1926437
 all 337:1925894
 all 338:1922991
 all 339:1921454
 all 340:1924122
 all 341:1923983
 all 342:1925498
 all 343:1917771
 all 344:1921109
 all 345:1921166
 all 346:1916091
 all 347:1918796
 all 348:1920672
 all 349:1916152
 all 350:1917553
 all 351:1920858
 all 352:1921312
 all 353:1916336
 all 354:1918682
 all 355:1907238
 all 356:1906044
 all 357:1907561
 all 358:1906190
 all 359:1907627
 all 360:1908935
 all 361:1907470
 all 362:1910049
 all 363:1906266
 all 364:1908378
 all 365:1907880
 all 366:1905237
 all 367:1906396
 all 368:1910418
 all 369:1907647
 all 370:1910301
 all 371:1906529
 all 372:1902335
 all 373:1900190
 all 374:1904636
 all 375:1901874
 all 376:1904686
 all 377:1900252
 all 378:1901353
 all 379:1904819
 all 380:1904742
 all 381:1901513
 all 382:1904885
 all 383:1901056
 all 384:1901169
 all 385:1903228
 all 386:1901084
 all 387:1905121
 all 388:1901091
 all 389:1905001
 all 390:1894142
 all 391:1899282
 all 392:1895841
 all 393:1895966
 all 394:1898145
 all 395:1898048
 all 396:1895881
 all 397:1894482
 all 398:1898146
 all 399:1898300
 all 400:1898552
 all 401:1896976
 all 402:1898403
 all 403:1896907
 all 404:1898543
 all 405:1897018
 all 406:1898606
 all 407:1897150
 all 408:1894104
 all 409:1894191
 all 410:1891530
 all 411:1891581
 all 412:1894250
 all 413:1889149
 all 414:1893067
 all 415:1890635
 all 416:1889234
 all 417:1894405
 all 418:1893041
 all 419:1891751
 all 420:1887608
 all 421:1883705
 all 422:1886271
 all 423:1886508
 all 424:1886531
 all 425:1886620
 all 426:1886364
 all 427:1883809
 all 428:1884087
 all 429:1887718
 all 430:1889115
 all 431:1886539
 all 432:1883490
 all 433:1883685
 all 434:1883735
 all 435:1878838
 all 436:1880663
 all 437:1883806
 all 438:1881509
 all 439:1878810
 all 440:1881165
 all 441:1881317
 all 442:1881274
 all 443:1881617
 all 444:1883684
 all 445:1884026
 all 446:1878918
 all 447:1881461
 all 448:1881713
 all 449:1879148
 all 450:1881887
 all 451:1881797
 all 452:1880761
 all 453:1879286
 all 454:1879460
 all 455:1884344
 all 456:1881741
 all 457:1881986
 all 458:1883751
 all 459:1873201
 all 460:1875776
 all 461:1873275
 all 462:1875871
 all 463:1878400
 all 464:1877564
 all 465:1876045
 all 466:1875324
 all 467:1873429
 all 468:1869482
 all 469:1867556
 all 470:1868128
 all 471:1868562
 all 472:1869673
 all 473:1872893
 all 474:1867842
 all 475:1870574
 all 476:1867890
 all 477:1872953
 all 478:1868039
 all 479:1871127
 all 480:1873121
 all 481:1870336
 all 482:1868127
 all 483:1870760
 all 484:1870483
 all 485:1870864
 all 486:1867265
 all 487:1860568
 all 488:1867055
 all 489:1862584
 all 490:1860696
 all 491:1862105
 all 492:1862250
 all 493:1860909
 all 494:1865978
 all 495:1860907
 all 496:1862228
 all 497:1862527
 all 498:1864420
 all 499:1867629
 all 500:1865234
 all 501:1865103
 all 502:1865248
 all 503:1859899
 all 504:1857323
 all 505:1859750
 all 506:1862413
 all 507:1860072
 all 508:1862665
 all 509:1859936
 all 510:1862521
 all 511:1857062
 all 512:1851967
 all 513:1855432
 all 514:1853549
 all 515:1853905
 all 516:1857244
 all 517:1849231
 all 518:1851856
 all 519:1846794
 all 520:1849371
 all 521:1846894
 all 522:1849381
 all 523:1873529
 all 524:1876254
 all 525:1873617
 all 526:1876208
 all 527:1876185
 all 528:1876191
 all 529:1876289
 all 530:1877227
 all 531:1878903
 all 532:1876639
 all 533:1873926
 all 534:1874012
 all 535:1878289
 all 536:1876797
 all 537:1874153
 all 538:1875622
 all 539:1870925
 all 540:1870742
 all 541:1868248
 all 542:1873340
 all 543:1873477
 all 544:1873558
 all 545:1870820
 all 546:1868386
 all 547:1870970
 all 548:1871300
 all 549:1868685
 all 550:1871125
 all 551:1871351
 all 552:1868826
 all 553:1873858
 all 554:1871279
 all 555:1873911
 all 556:1871597
 all 557:1870264
 all 558:1868016
 all 559:1865648
 all 560:1862932
 all 561:1865301
 all 562:1865580
 all 563:1865771
 all 564:1865212
 all 565:1868527
 all 566:1865453
 all 567:1865966
 all 568:1867511
 all 569:1865524
 all 570:1867241
 all 571:1863554
 all 572:1865539
 all 573:1868202
 all 574:1860201
 all 575:1860271
 all 576:1857941
 all 577:1858012
 all 578:1861772
 all 579:1861974
 all 580:1859328
 all 581:1859234
 all 582:1860757
 all 583:1863254
 all 584:1858303
 all 585:1863377
 all 586:1861487
 all 587:1860053
 all 588:1858448
 all 589:1861021
 all 590:1861870
 all 591:1860851
 all 592:1855411
 all 593:1857499
 all 594:1855746
 all 595:1854160
 all 596:1854333
 all 597:1855258
 all 598:1855384
 all 599:1854754
 all 600:1854648
 all 601:1855630
 all 602:1856921
 all 603:1854861
 all 604:1858169
 all 605:1853033
 all 606:1855691
 all 607:1849662
 all 608:1849853
 all 609:1852411
 all 610:1849891
 all 611:1849024
 all 612:1849815
 all 613:1847624
 all 614:1852564
 all 615:1849931
 all 616:1852139
 all 617:1849964
 all 618:1852774
 all 619:1850109
 all 620:1852635
 all 621:1850483
 all 622:1853264
 all 623:1855864
 all 624:1854920
 all 625:1847957
 all 626:1850603
 all 627:1847819
 all 628:1852903
 all 629:1850445
 all 630:1836132
 all 631:1830832
 all 632:1833498
 all 633:1827918
 all 634:1828118
 all 635:1830690
 all 636:1846867
 all 637:1843022
 all 638:1841745
 all 639:1844274
 all 640:1844331
 all 641:1842066
 all 642:1847024
 all 643:1844743
 all 644:1841980
 all 645:1847202
 all 646:1843625
 all 647:1847457
 all 648:1843538
 all 649:1847347
 all 650:1843777
 all 651:1838921
 all 652:1838960
 all 653:1839871
 all 654:1836889
 all 655:1836803
 all 656:1839506
 all 657:1841911
 all 658:1836964
 all 659:1837072
 all 660:1842057
 all 661:1841993
 all 662:1842225
 all 663:1838992
 all 664:1835248
 all 665:1837075
 all 666:1842211
 all 667:1836183
 all 668:1831163
 all 669:1836099
 all 670:1831024
 all 671:1833769
 all 672:1833914
 all 673:1836529
 all 674:1833851
 all 675:1834231
 all 676:1831531
 all 677:1820868
 all 678:1832032
 all 679:1836509
 all 680:1828459
 all 681:1828543
 all 682:1828705
 all 683:1828632
 all 684:1819381
 all 685:1829686
 all 686:1823242
 all 687:1825767
 all 688:1823216
 all 689:1820175
 all 690:1819397
 all 691:1814645
 all 692:1813960
 all 693:1819039
 all 694:1819030
 all 695:1817302
 all 696:1819037
 all 697:1845284
 all 698:1843703
 all 699:1846324
 all 700:1839189
 all 701:1845348
 all 702:1842440
 all 703:1835884
 all 704:1839266
 all 705:1835328
 all 706:1839320
 all 707:1831408
 all 708:1831369
 all 709:1824742
 all 710:1828647
 all 711:1821830
 all 712:1821880
 all 713:1817909
 all 714:1816804
 all 715:1816559
 all 716:1815747
 all 717:1816697
 all 718:1993368
 all 719:1993423
 all 720:1995254
 all 721:1981949
 all 722:1982854
 all 723:1982849
 all 724:1972034
 all 725:1968848
 all 726:1972167
 all 727:1963290
 all 728:1964700
 all 729:1965420
 all 730:1951059
 all 731:1955857
 all 732:1956482
 all 733:1953504
 all 734:1953904
 all 735:1953976
 all 736:1940411
 all 737:1945096
 all 738:1946890
 all 739:1948383
 all 740:1945467
 all 741:1945911
 all 742:1948635
 all 743:1940729
 all 744:1941096
 all 745:1940227
 all 746:1941035
 all 747:1938699
 all 748:1992117
 all 749:1992550
 all 750:1993572
 all 751:1998573
 all 752:1996827
 all 753:1995465
 all 754:1998608
 all 755:1998575
 all 756:1993550
 all 757:1993531
 all 758:1990903
 all 759:1991584
 all 760:1993270
 all 761:1990223
 all 762:1989129
 all 763:1982854
 all 764:1986261
 all 765:1983029
 all 766:1983017
 all 767:1987187
 all 768:1988079
 all 769:1985757
 all 770:1984806
 all 771:1982762
 all 772:1980773
 all 773:1981229
 all 774:1982712
 all 775:1977612
 all 776:1980302
 all 777:1979988
 all 778:1973577
 all 779:1973730
 all 780:1977464
 all 781:1977498
 all 782:1974225
 all 783:1974162
 all 784:1975106
 all 785:1975017
 all 786:1971370
 all 787:1970875
 all 788:1968714
 all 789:1969401
 all 790:1970711
 all 791:1967689
 all 792:1970898
 all 793:1965433
 all 794:1963240
 all 795:1962007
 all 796:1959689
 all 797:1964972
 all 798:1964974
 all 799:1964801
 all 800:1966368
 all 801:1965849
 all 802:1960838
 all 803:1960785
 all 804:1962963
 all 805:1963225
 all 806:1956936
 all 807:1957474
 all 808:1957682
 all 809:1959796
 all 810:1957467
 all 811:1960203
 all 812:1958330
 all 813:1957455
 all 814:1960876
 all 815:1958390
 all 816:1957192
 all 817:1958489
 all 818:1951544
 all 819:1951958
 all 820:1952440
 all 821:1952468
 all 822:1952952
 all 823:1951955
 all 824:1953227
 all 825:1951630
 all 826:1955660
 all 827:1944659
 all 828:1944169
 all 829:1944418
 all 830:1944698
 all 831:1945612
 all 832:1949492
 all 833:1948534
 all 834:1945031
 all 835:1940979
 all 836:1941746
 all 837:1942010
 all 838:1942007
 all 839:1993531
 all 840:1993517
 all 841:1998609
 all 842:1998565
 all 843:1993532
 all 844:1993514
 all 845:1997286
 all 846:1997831
 all 847:1993529
 all 848:1998423
 all 849:1993685
 all 850:1998464
 all 851:1995226
 all 852:1993835
 all 853:1996657
 all 854:1993697
 all 855:1998280
 all 856:1993851
 all 857:1993273
 all 858:1991230
 all 859:1988161
 all 860:1991592
 all 861:1993274
 all 862:1989172
 all 863:1988219
 all 864:1988221
 all 865:1988167
 all 866:1986793
 all 867:1983895
 all 868:1988013
 all 869:1982946
 all 870:1987967
 all 871:1982870
 all 872:1980078
 all 873:1980246
 all 874:1980293
 all 875:1980015
 all 876:1980173
 all 877:1977595
 all 878:1982575
 all 879:1980202
 all 880:1977605
 all 881:1977419
 all 882:1974232
 all 883:1975504
 all 884:1972874
 all 885:1977425
 all 886:1973037
 all 887:1977401
 all 888:1972373
 all 889:1974988
 all 890:1977431
 all 891:1977416
 all 892:1974779
 all 893:1972516
 all 894:1974719
 all 895:1974758
 all 896:1970922
 all 897:1967848
 all 898:1969421
 all 899:1970171
 all 900:1970714
 all 901:1969506
 all 902:1969516
 all 903:1972118
 all 904:1971031
 all 905:1965183
 all 906:1964900
 all 907:1961455
 all 908:1966868
 all 909:1963316
 all 910:1963997
 all 911:1964364
 all 912:1966832
 all 913:1964251
 all 914:1966819
 all 915:1966089
 all 916:1963428
 all 917:1961386
 all 918:1958947
 all 919:1961123
 all 920:1961331
 all 921:1957843
 all 922:1956348
 all 923:1956525
 all 924:1960323
 all 925:1960094
 all 926:1956429
 all 927:1960062
 all 928:1954805
 all 929:1956082
 all 930:1952601
 all 931:1955001
 all 932:1951044
 all 933:1951040
 all 934:1953602
 all 935:1955767
 all 936:1954454
 all 937:1951173
 all 938:1953904
 all 939:1951258
 all 940:1956295
 all 941:1945300
 all 942:1946921
 all 943:1943982
 all 944:1941266
 all 945:1948933
 all 946:1947399
 all 947:1946435
 all 948:1947340
 all 949:1949865
 all 950:1947311
 all 951:1950357
 all 952:1944951
 all 953:1940350
 all 954:1943432
 all 955:1995548
 all 956:1993470
 all 957:1996059
 all 958:1998400
 all 959:1998453
 all 960:1993431
 all 961:1989477
 all 962:1989503
 all 963:1989418
 all 964:1991298
 all 965:1993220
 all 966:1992009
 all 967:1985574
 all 968:1985491
 all 969:1985388
 all 970:1985365
 all 971:1985472
 all 972:1985221
 all 973:1981779
 all 974:1981283
 all 975:1981392
 all 976:1980497
 all 977:1981275
 all 978:1981341
 all 979:1975723
 all 980:1974946
 all 981:1969494
 all 982:1974738
 all 983:1975769
 all 984:1976196
 all 985:1974687
 all 986:1976636
 all 987:1976163
 all 988:1974684
 all 989:1974522
 all 990:1974956
 all 991:1972304
 all 992:1972227
 all 993:1974949
 all 994:1977247
 all 995:1969468
 all 996:1969700
 all 997:1967028
 all 998:1972001
 all 999:1969372
 all 1000:1969670
 all 1001:1968267
 all 1002:1964904
 all 1003:1962651
 all 1004:1966761
 all 1005:1966769
 all 1006:1966799
 all 1007:1964932
 all 1008:1961105
 all 1009:1960430
 all 1010:1960212
 all 1011:1958047
 all 1012:1956962
 all 1013:1958725
 all 1014:1962548
 all 1015:1958513
 all 1016:1958615
 all 1017:1962391
 all 1018:1958706
 all 1019:1958832
 all 1020:1962852
 all 1021:1962672
 all 1022:1959978
 all 1023:1953991
 all 1024:1954147
 all 1025:1954860
 all 1026:1951656
 all 1027:1956230
 all 1028:1954567
 all 1029:1952866
 all 1030:1953917
 all 1031:1957288
 all 1032:1957088
 all 1033:1952347
 all 1034:1950030
 all 1035:1952608
 all 1036:1952272
 all 1037:1951229
 all 1038:1950926
 all 1039:1946458
 all 1040:1946347
 all 1041:1949789
 all 1042:1948952
 all 1043:1949288
 all 1044:1951594
 all 1045:1947132
 all 1046:1946824
 all 1047:1951755
 all 1048:1946819
 all 1049:1951918
 all 1050:1948653
 all 1051:1949723
 all 1052:1947094
 all 1053:1952170
 all 1054:1942154
 all 1055:1946411
 all 1056:1946294
 all 1057:1941307
 all 1058:1946527
 all 1059:1945134
 all 1060:1941577
 all 1061:1939527
 all 1062:1941490
 all 1063:1946752
 all 1064:1941534
 all 1065:1942364
 all 1066:1941860
 all 1067:1946921
 all 1068:1940077
 all 1069:1994567
 all 1070:1990676
 all 1071:1990468
 all 1072:1985408
 all 1073:1985088
 all 1074:1979858
 all 1075:1980067
 all 1076:1979245
 all 1077:1974056
 all 1078:1974030
 all 1079:1974564
 all 1080:1974160
 all 1081:1968239
 all 1082:1969318
 all 1083:1966759
 all 1084:1969776
 all 1085:1971827
 all 1086:1967017
 all 1087:1968248
 all 1088:1970966
 all 1089:1968203
 all 1090:1971008
 all 1091:1968150
 all 1092:1964535
 all 1093:1965884
 all 1094:1965702
 all 1095:1963389
 all 1096:1964526
 all 1097:1966532
 all 1098:1965065
 all 1099:1966536
 all 1100:1961348
 all 1101:1958029
 all 1102:1961831
 all 1103:1957960
 all 1104:1958086
 all 1105:1958126
 all 1106:1963088
 all 1107:1959786
 all 1108:1963082
 all 1109:1963101
 all 1110:1960440
 all 1111:1958126
 all 1112:1963148
 all 1113:1960562
 all 1114:1960693
 all 1115:1963336
 all 1116:1958276
 all 1117:1962233
 all 1118:1957765
 all 1119:1954024
 all 1120:1952707
 all 1121:1956378
 all 1122:1957878
 all 1123:1952776
 all 1124:1957814
 all 1125:1952807
 all 1126:1957800
 all 1127:1955704
 all 1128:1953929
 all 1129:1954811
 all 1130:1955450
 all 1131:1957827
 all 1132:1953797
 all 1133:1952827
 all 1134:1952831
 all 1135:1955241
 all 1136:1957906
 all 1137:1955486
 all 1138:1953049
 all 1139:1955589
 all 1140:1950314
 all 1141:1950230
 all 1142:1958128
 all 1143:1952979
 all 1144:1950140
 all 1145:1952462
 all 1146:1947207
 all 1147:1947836
 all 1148:1947847
 all 1149:1946242
 all 1150:1949832
 all 1151:1951219
 all 1152:1949045
 all 1153:1952596
 all 1154:1947556
 all 1155:1947537
 all 1156:1950180
 all 1157:1947518
 all 1158:1950124
 all 1159:1949967
 all 1160:1947257
 all 1161:1947249
 all 1162:1946704
 all 1163:1945758
 all 1164:1944628
 all 1165:1944657
 all 1166:1944308
 all 1167:1943690
 all 1168:1947294
 all 1169:1947329
 all 1170:1944711
 all 1171:1964358
 all 1172:1966452
 all 1173:1959946
 all 1174:1958368
 all 1175:1961831
 all 1176:1962193
 all 1177:1955722
 all 1178:1953307
 all 1179:1953270
 all 1180:1955716
 all 1181:1955519
 all 1182:1950460
 all 1183:1927209
 all 1184:1925797
 all 1185:1928878
 all 1186:1925897
 all 1187:1930869
 all 1188:1930976
 all 1189:1930736
 all 1190:1928741
 all 1191:1921552
 all 1192:1922364
 all 1193:1924626
 all 1194:1920520
 all 1195:1920940
 all 1196:1922531
 all 1197:1917892
 all 1198:1914460
 all 1199:1914516
 all 1200:1919595
 all 1201:1917690
 all 1202:1917143
 all 1203:1917461
 all 1204:1914578
 all 1205:1917510
 all 1206:1917149
 all 1207:1919911
 all 1208:1919304
 all 1209:1916988
 all 1210:1919985
 all 1211:1916875
 all 1212:1915033
 all 1213:1920110
 all 1214:1915823
 all 1215:1920156
 all 1216:1916145
 all 1217:1909046
 all 1218:1911459
 all 1219:1909332
 all 1220:1911901
 all 1221:1914466
 all 1222:1909413
 all 1223:1909516
 all 1224:1912269
 all 1225:1914855
 all 1226:1909773
 all 1227:1914860
 all 1228:1909792
 all 1229:1908103
 all 1230:1907682
 all 1231:1905467
 all 1232:1907572
 all 1233:1904059
 all 1234:1905338
 all 1235:1907750
 all 1236:1904650
 all 1237:1906678
 all 1238:1906767
 all 1239:1904188
 all 1240:1904195
 all 1241:1909280
 all 1242:1904278
 all 1243:1905695
 all 1244:1909372
 all 1245:1909491
 all 1246:1906900
 all 1247:1905849
 all 1248:1909477
 all 1249:1907220
 all 1250:1899195
 all 1251:1902258
 all 1252:1899655
 all 1253:1901673
 all 1254:1899930
 all 1255:1902080
 all 1256:1902221
 all 1257:1903583
 all 1258:1898752
 all 1259:1899937
 all 1260:1902238
 all 1261:1902837
 all 1262:1900098
 all 1263:1898900
 all 1264:1902433
 all 1265:1900347
 all 1266:1899167
 all 1267:1902323
 all 1268:1895782
 all 1269:1895520
 all 1270:1898310
 all 1271:1894419
 all 1272:1893352
 all 1273:1898252
 all 1274:1895824
 all 1275:1893593
 all 1276:1895407
 all 1277:1896261
 all 1278:1898722
 all 1279:1893897
 all 1280:1896231
 all 1281:1897812
 all 1282:1897825
 all 1283:1892500
 all 1284:1890131
 all 1285:1887900
 all 1286:1892965
 all 1287:1890688
 all 1288:1888038
 all 1289:1893157
 all 1290:1888033
 all 1291:1888164
 all 1292:1893282
 all 1293:1893393
 all 1294:1893586
 all 1295:1887375
 all 1296:1882318
 all 1297:1885242
 all 1298:1885518
 all 1299:1885720
 all 1300:1885595
 all 1301:1883266
 all 1302:1888375
 all 1303:1888193
 all 1304:1877114
 all 1305:1877243
 all 1306:1879717
 all 1307:1882517
 all 1308:1879838
 all 1309:1879863
 all 1310:1879967
 all 1311:1880380
 all 1312:1880338
 all 1313:1905938
 all 1314:1904611
 all 1315:1907301
 all 1316:1909670
 all 1317:1900449
 all 1318:1904534
 all 1319:1902507
 all 1320:1902387
 all 1321:1900038
 all 1322:1900158
 all 1323:1894048
 all 1324:1894113
 all 1325:1898099
 all 1326:1899140
 all 1327:1897781
 all 1328:1893986
 all 1329:1891107
 all 1330:1888699
 all 1331:1891410
 all 1332:1891268
 all 1333:1891240
 all 1334:1888857
 all 1335:1891631
 all 1336:1891583
 all 1337:1888982
 all 1338:1884989
 all 1339:1887818
 all 1340:1888450
 all 1341:1885795
 all 1342:1888570
 all 1343:1888502
 all 1344:1885820
 all 1345:1885906
 all 1346:1886254
 all 1347:1888692
 all 1348:1885027
 all 1349:1883564
 all 1350:1882279
 all 1351:1881583
 all 1352:1879976
 all 1353:1878840
 all 1354:1882543
 all 1355:1881311
 all 1356:1880670
 all 1357:1880601
 all 1358:1880953
 all 1359:1878225
 all 1360:1878360
 all 1361:1883330
 all 1362:1873603
 all 1363:1874324
 all 1364:1875743
 all 1365:1874410
 all 1366:1871952
 all 1367:1875014
 all 1368:1874732
 all 1369:1876086
 all 1370:1872374
 all 1371:1873911
 all 1372:1875866
 all 1373:1875053
 all 1374:1871463
 all 1375:1866444
 all 1376:1867526
 all 1377:1871674
 all 1378:1869130
 all 1379:1871852
 all 1380:1866820
 all 1381:1869529
 all 1382:1870058
 all 1383:1861402
 all 1384:1863897
 all 1385:1862348
 all 1386:1863728
 all 1387:1864101
 all 1388:1864529
 all 1389:1866847
 all 1390:1861834
 all 1391:1861944
 all 1392:1855891
 all 1393:1858808
 all 1394:1860536
 all 1395:1857108
 all 1396:1856548
 all 1397:1858518
 all 1398:1858751
 all 1399:1858245
 all 1400:1860653
 all 1401:1852901
 all 1402:1850524
 all 1403:1854571
 all 1404:1851348
 all 1405:1850972
 all 1406:1856246
 all 1407:1847678
 all 1408:1847654
 all 1409:1845307
 all 1410:1845615
 all 1411:1845816
 all 1412:1846000
 all 1413:1850910
 all 1414:1845874
 all 1415:1851028
 all 1416:1877753
 all 1417:1877907
 all 1418:1872763
 all 1419:1870262
 all 1420:1876212
 all 1421:1870322
 all 1422:1858492
 all 1423:1858571
 all 1424:1857426
 all 1425:1857355
 all 1426:1855270
 all 1427:1855467
 all 1428:1851450
 all 1429:1851336
 all 1430:1851622
 all 1431:1855295
 all 1432:1851552
 all 1433:1855624
 all 1434:1853587
 all 1435:1855683
 all 1436:1855542
 all 1437:1851695
 all 1438:1846141
 all 1439:1846309
 all 1440:1849052
 all 1441:1824193
 all 1442:1826551
 all 1443:1827837
 all 1444:1817694
 all 1445:1817820
 all 1446:1820710
 all 1447:1842219
 all 1448:1840238
 all 1449:1840496
 all 1450:1840568
 all 1451:1845704
 all 1452:1843182
 all 1453:1841738
 all 1454:1837895
 all 1455:1840162
 all 1456:1837495
 all 1457:1835225
 all 1458:1839924
 all 1459:1825179
 all 1460:1829498
 all 1461:1832282
 all 1462:1827121
 all 1463:1835040
 all 1464:1829759
 all 1465:1816120
 all 1466:1816345
 all 1467:1821752
 all 1468:1821887
 all 1469:1816396
 all 1470:1816583
 all 1471:1840892
 all 1472:1841048
 all 1473:1842317
 all 1474:1841255
 all 1475:1844673
 all 1476:1846254
 all 1477:1842395
 all 1478:1844222
 all 1479:1841515
 all 1480:1841440
 all 1481:1846411
 all 1482:1841586
 all 1483:1846657
 all 1484:1846765
 all 1485:1841620
 all 1486:1838774
 all 1487:1835429
 all 1488:1837165
 all 1489:1840723
 all 1490:1839304
 all 1491:1837670
 all 1492:1838479
 all 1493:1836226
 all 1494:1838745
 all 1495:1838885
