t matrices
d md12
a matrix=md12 ycoord 0 zcentroid ycoord
 all 1:1905454
 all 2:1904481
 all 3:1904521
 all 4:1905527
 all 5:1904854
 all 6:1905597
 all 7:1904424
 all 8:1903584
 all 9:1903636
 all 10:1903512
 all 11:1903502
 all 12:1903447
 all 13:1903852
 all 14:1902118
 all 15:1901767
 all 16:1902272
 all 17:1902162
 all 18:1902234
 all 19:1902379
 all 20:1901032
 all 21:1900649
 all 22:1900781
 all 23:1900889
 all 24:1901167
 all 25:1901376
 all 26:1899631
 all 27:1899666
 all 28:1899692
 all 29:1899712
 all 30:1900044
 all 31:1899130
 all 32:1898757
 all 33:1898551
 all 34:1898562
 all 35:1898611
 all 36:1898663
 all 37:1896739
 all 38:1896773
 all 39:1897440
 all 40:1896936
 all 41:1897161
 all 42:1895158
 all 43:1895193
 all 44:1895078
 all 45:1895141
 all 46:1895121
 all 47:1895663
 all 48:1908210
 all 49:1910378
 all 50:1909293
 all 51:1908447
 all 52:1908492
 all 53:1906687
 all 54:1905807
 all 55:1905705
 all 56:1907137
 all 57:1906608
 all 58:1903587
 all 59:1904927
 all 60:1901461
 all 61:1901180
 all 62:1899175
 all 63:1899187
 all 64:1895729
 all 65:1895892
 all 66:1892180
 all 67:1893424
 all 68:1893302
 all 69:1892535
 all 70:1893784
 all 71:1894136
 all 72:1890943
 all 73:1892046
 all 74:1890890
 all 75:1890389
 all 76:1891453
 all 77:1891303
 all 78:1914579
 all 79:1914490
 all 80:1914512
 all 81:1914633
 all 82:1914935
 all 83:1914773
 all 84:1910650
 all 85:1910789
 all 86:1912712
 all 87:1911905
 all 88:1911017
 all 89:1911693
 all 90:1908062
 all 91:1908298
 all 92:1907765
 all 93:1906698
 all 94:1903528
 all 95:1903586
 all 96:1901431
 all 97:1901516
 all 98:1898161
 all 99:1898771
 all 100:1896299
 all 101:1896525
 all 102:1894595
 all 103:1894600
 all 104:1891268
 all 105:1890180
 all 106:1888042
 all 107:1888681
 all 108:1889349
 all 109:1887095
 all 110:1888034
 all 111:1888171
 all 112:1888309
 all 113:1888221
 all 114:1886573
 all 115:1885345
