  inode  jnode                  timau               result
    202  14492                   1.38                  1.38 
    203  13120                   1.68                  1.68 
    204  13298                     .9                    .9 
    205  13338                   1.38                  1.38 
    206  13371                   1.14                  1.14 
    207  13325                   1.08                  1.08 
    208  13644                   1.17                  1.17 
    209  13670                   1.32                  1.32 
    210  16834                   1.05                  1.05 
    211  13465                   1.11                  1.11 
    212  13792                   1.17                  1.17 
    213  13701                   2.34                  2.34 
    214  17522                   1.74                  1.74 
    215  14112                   1.08                  1.08 
    216  13926                    .45                   .45 
    217  14116                    1.2                   1.2 
    218  13938                   1.26                  1.26 
    219  14454                   1.23                  1.23 
    220  14361                   1.32                  1.32 
    221  14209                   1.29                  1.29 
    222  14415                   1.23                  1.23 
    223  13225                   1.35                  1.35 
    224  13107                   1.11                  1.11 
    225  13337                   1.44                  1.44 
    226  13439                   1.44                  1.44 
    227  13519                   1.26                  1.26 
    228  13557                   1.74                  1.74 
    229  13687                   1.38                  1.38 
    230  21350                   1.14                  1.14 
    231  21368                     .9                    .9 
    232  13846                    .87                   .87 
    233  13936                   1.05                  1.05 
    234  14123                   1.11                  1.11 
    235  14054                   1.56                  1.56 
    236  14055                   1.44                  1.44 
    237  14126                   1.11                  1.11 
    238  23220                    1.2                   1.2 
    239  14316                   1.17                  1.17 
    240  14514                   1.17                  1.17 
    241  14373                   1.35                  1.35 
    242  13119                   1.68                  1.68 
    243  12959                   1.26                  1.26 
    244  13115                    .93                   .93 
    245  13230                   1.41                  1.41 
    246  13346                   1.44                  1.44 
    247  13445                    .99                   .99 
    248  13438                   1.41                  1.41 
    249  13351                   1.38                  1.38 
    250  13700                   1.47                  1.47 
    251  13560                   1.26                  1.26 
    252  13696                   1.26                  1.26 
    253  13563                   1.44                  1.44 
    254  21374                   1.14                  1.14 
    255  13695                   1.44                  1.44 
    256  13814                   1.23                  1.23 
    257  13948                   1.02                  1.02 
    258  14036                   1.05                  1.05 
    259  13989                   1.11                  1.11 
    260  21389                    .81                   .81 
    261  14125                    .78                   .78 
    262  14513                   1.44                  1.44 
    263  14528                    1.2                   1.2 
    264  14214                   1.11                  1.11 
    265  14287                    .87                   .87 
    266  13198                   1.29                  1.29 
    267  13234                   1.47                  1.47 
    268  12974                   1.44                  1.44 
    269  13122                   1.59                  1.59 
    270  13357                   1.47                  1.47 
    271  13567                   1.56                  1.56 
    272  13839                   1.32                  1.32 
    273  13705                    1.5                   1.5 
    274  13830                   1.47                  1.47 
    275  13832                   1.41                  1.41 
    276  13950                    1.5                   1.5 
    277  14076                   1.47                  1.47 
    278  14133                   1.05                  1.05 
    279  14218                   1.02                  1.02 
    280  14286                    .75                   .75 
    281  21404                    .81                   .81 
    282  14534                   1.38                  1.38 
    283  21412                   1.05                  1.05 
    284  13236                   1.38                  1.38 
    285  13240                   1.26                  1.26 
    286  13133                   1.35                  1.35 
    287  13129                    1.5                   1.5 
    288  13455                   1.23                  1.23 
    289  13262                   1.17                  1.17 
    290  13358                   1.14                  1.14 
    291  13359                   1.05                  1.05 
    292  13708                   1.65                  1.65 
    293  13574                   1.41                  1.41 
    294  13460                   1.29                  1.29 
    295  13575                   1.32                  1.32 
    296  13838                   1.41                  1.41 
    297  13837                   1.35                  1.35 
    298  13714                   1.08                  1.08 
    299  13960                   1.41                  1.41 
    300  14008                   1.17                  1.17 
    301  14140                   1.17                  1.17 
    302  13953                   1.47                  1.47 
    303  14145                   1.17                  1.17 
    304  14390                   1.32                  1.32 
    305  14295                   1.11                  1.11 
    306  14521                   1.32                  1.32 
    307  14284                   1.14                  1.14 
    308  14799                    .84                   .84 
    309  18195                    .81                   .81 
    310  14488                   1.47                  1.47 
    311  14961                    .96                   .96 
    312  17565                    .93                   .93 
    313  14921                   1.02                  1.02 
    314  14796                   1.71                  1.71 
    315  14505                   1.11                  1.11 
    316  14811                   1.41                  1.41 
    317  14648                   1.38                  1.38 
    318  14647                    .87                   .87 
    319  14973                    1.5                   1.5 
    320  14821                   1.23                  1.23 
    321  14825                   1.11                  1.11 
    322  15167                    .27                   .27 
    323  14968                   1.44                  1.44 
    324  14578                   1.17                  1.17 
    325  14820                   1.38                  1.38 
    326  14809                   1.44                  1.44 
    327  14654                   1.53                  1.53 
    328  14853                    .84                   .84 
    329  15094                    .99                   .99 
    330  15083                    .75                   .75 
    331  14894                    .78                   .78 
    332  15197                   1.02                  1.02 
    333  14752                   1.26                  1.26 
    334  14657                    1.5                   1.5 
    335  14522                   1.44                  1.44 
    336  14658                   1.23                  1.23 
